"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18","Get exercises","LMS service","Sat Sep 13 16:57:37 GMT 2025","passed","Sat Sep 13 16:57:37 GMT 2025","Get entities","Exercises","",""
"","550","Create new user","LMS service","Sat Sep 13 16:57:41 GMT 2025","passed","Sat Sep 13 16:57:41 GMT 2025","Create entity","Users","",""
"","21","Delete file","LMS service","Sat Sep 13 16:57:40 GMT 2025","passed","Sat Sep 13 16:57:40 GMT 2025","Delete entity","Files","",""
"","11","Get user me","LMS service","Sat Sep 13 16:57:42 GMT 2025","passed","Sat Sep 13 16:57:42 GMT 2025","Get entity","Users","",""
"","287","Delete exercise","LMS service","Sat Sep 13 16:57:36 GMT 2025","passed","Sat Sep 13 16:57:37 GMT 2025","Delete entity","Exercises","",""
"","16","Get file","LMS service","Sat Sep 13 16:57:38 GMT 2025","passed","Sat Sep 13 16:57:38 GMT 2025","Get entity","Files","",""
"","270","Create file","LMS service","Sat Sep 13 16:57:37 GMT 2025","passed","Sat Sep 13 16:57:38 GMT 2025","Create entity","Files","",""
"","541","Login with correct email and password","LMS service","Sat Sep 13 16:57:32 GMT 2025","passed","Sat Sep 13 16:57:32 GMT 2025","Login","Authentication","",""
"","268","Create file with empty filename","LMS service","Sat Sep 13 16:57:39 GMT 2025","passed","Sat Sep 13 16:57:39 GMT 2025","Validate entity","Files","",""
"","20","Update exercise","LMS service","Sat Sep 13 16:57:35 GMT 2025","passed","Sat Sep 13 16:57:35 GMT 2025","Update entity","Exercises","",""
"","285","Get exercise","LMS service","Sat Sep 13 16:57:36 GMT 2025","passed","Sat Sep 13 16:57:36 GMT 2025","Get entity","Exercises","",""
"","295","Get courses","LMS service","Sat Sep 13 16:57:32 GMT 2025","passed","Sat Sep 13 16:57:33 GMT 2025","Get entities","Courses","",""
"","263","Get file with incorrect file id","LMS service","Sat Sep 13 16:57:40 GMT 2025","passed","Sat Sep 13 16:57:41 GMT 2025","Validate entity","Files","",""
"","271","Create file with empty directory","LMS service","Sat Sep 13 16:57:39 GMT 2025","passed","Sat Sep 13 16:57:39 GMT 2025","Validate entity","Files","",""
"","502","Create new user","LMS service","Sat Sep 13 16:57:40 GMT 2025","passed","Sat Sep 13 16:57:41 GMT 2025","Create entity","Users","",""
"","288","Create new user","LMS service","Sat Sep 13 16:57:41 GMT 2025","passed","Sat Sep 13 16:57:41 GMT 2025","Create entity","Users","",""
"","291","Create exercise","LMS service","Sat Sep 13 16:57:34 GMT 2025","passed","Sat Sep 13 16:57:35 GMT 2025","Create entity","Exercises","",""
"","307","Update course","LMS service","Sat Sep 13 16:57:34 GMT 2025","passed","Sat Sep 13 16:57:34 GMT 2025","Update entity","Courses","",""
"","27","Create course","LMS service","Sat Sep 13 16:57:33 GMT 2025","passed","Sat Sep 13 16:57:33 GMT 2025","Create entity","Courses","",""
