"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","288","Update exercise","LMS service","Sat Sep 13 11:28:35 GMT 2025","passed","Sat Sep 13 11:28:36 GMT 2025","Update entity","Exercises","",""
"","543","Login with correct email and password","LMS service","Sat Sep 13 11:28:32 GMT 2025","passed","Sat Sep 13 11:28:33 GMT 2025","Login","Authentication","",""
"","28","Create course","LMS service","Sat Sep 13 11:28:34 GMT 2025","passed","Sat Sep 13 11:28:34 GMT 2025","Create entity","Courses","",""
"","260","Create file with empty directory","LMS service","Sat Sep 13 11:28:39 GMT 2025","passed","Sat Sep 13 11:28:40 GMT 2025","Validate entity","Files","",""
"","309","Update course","LMS service","Sat Sep 13 11:28:34 GMT 2025","passed","Sat Sep 13 11:28:35 GMT 2025","Update entity","Courses","",""
"","13","Get exercise","LMS service","Sat Sep 13 11:28:36 GMT 2025","passed","Sat Sep 13 11:28:36 GMT 2025","Get entity","Exercises","",""
"","291","Get exercises","LMS service","Sat Sep 13 11:28:37 GMT 2025","passed","Sat Sep 13 11:28:37 GMT 2025","Get entities","Exercises","",""
"","263","Create file","LMS service","Sat Sep 13 11:28:38 GMT 2025","passed","Sat Sep 13 11:28:38 GMT 2025","Create entity","Files","",""
"","290","Delete exercise","LMS service","Sat Sep 13 11:28:37 GMT 2025","passed","Sat Sep 13 11:28:37 GMT 2025","Delete entity","Exercises","",""
"","498","Create new user","LMS service","Sat Sep 13 11:28:40 GMT 2025","passed","Sat Sep 13 11:28:41 GMT 2025","Create entity","Users","",""
"","11","Get user me","LMS service","Sat Sep 13 11:28:42 GMT 2025","passed","Sat Sep 13 11:28:42 GMT 2025","Get entity","Users","",""
"","558","Create new user","LMS service","Sat Sep 13 11:28:41 GMT 2025","passed","Sat Sep 13 11:28:42 GMT 2025","Create entity","Users","",""
"","557","Create new user","LMS service","Sat Sep 13 11:28:41 GMT 2025","passed","Sat Sep 13 11:28:42 GMT 2025","Create entity","Users","",""
"","23","Delete file","LMS service","Sat Sep 13 11:28:40 GMT 2025","passed","Sat Sep 13 11:28:40 GMT 2025","Delete entity","Files","",""
"","268","Get file with incorrect file id","LMS service","Sat Sep 13 11:28:41 GMT 2025","passed","Sat Sep 13 11:28:41 GMT 2025","Validate entity","Files","",""
"","268","Create file with empty filename","LMS service","Sat Sep 13 11:28:39 GMT 2025","passed","Sat Sep 13 11:28:39 GMT 2025","Validate entity","Files","",""
"","294","Create exercise","LMS service","Sat Sep 13 11:28:35 GMT 2025","passed","Sat Sep 13 11:28:35 GMT 2025","Create entity","Exercises","",""
"","295","Get courses","LMS service","Sat Sep 13 11:28:33 GMT 2025","passed","Sat Sep 13 11:28:33 GMT 2025","Get entities","Courses","",""
"","14","Get file","LMS service","Sat Sep 13 11:28:39 GMT 2025","passed","Sat Sep 13 11:28:39 GMT 2025","Get entity","Files","",""
