"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","503","Create new user","LMS service","Sat Sep 13 11:39:11 GMT 2025","passed","Sat Sep 13 11:39:11 GMT 2025","Create entity","Users","",""
"","311","Update course","LMS service","Sat Sep 13 11:39:04 GMT 2025","passed","Sat Sep 13 11:39:05 GMT 2025","Update entity","Courses","",""
"","13","Get user me","LMS service","Sat Sep 13 11:39:12 GMT 2025","passed","Sat Sep 13 11:39:12 GMT 2025","Get entity","Users","",""
"","19","Get exercises","LMS service","Sat Sep 13 11:39:08 GMT 2025","passed","Sat Sep 13 11:39:08 GMT 2025","Get entities","Exercises","",""
"","271","Create file with empty filename","LMS service","Sat Sep 13 11:39:09 GMT 2025","passed","Sat Sep 13 11:39:09 GMT 2025","Validate entity","Files","",""
"","23","Create exercise","LMS service","Sat Sep 13 11:39:05 GMT 2025","passed","Sat Sep 13 11:39:05 GMT 2025","Create entity","Exercises","",""
"","560","Create new user","LMS service","Sat Sep 13 11:39:11 GMT 2025","passed","Sat Sep 13 11:39:12 GMT 2025","Create entity","Users","",""
"","24","Update exercise","LMS service","Sat Sep 13 11:39:06 GMT 2025","passed","Sat Sep 13 11:39:06 GMT 2025","Update entity","Exercises","",""
"","16","Get exercise","LMS service","Sat Sep 13 11:39:06 GMT 2025","passed","Sat Sep 13 11:39:06 GMT 2025","Get entity","Exercises","",""
"","24","Delete file","LMS service","Sat Sep 13 11:39:11 GMT 2025","passed","Sat Sep 13 11:39:11 GMT 2025","Delete entity","Files","",""
"","273","Create file","LMS service","Sat Sep 13 11:39:08 GMT 2025","passed","Sat Sep 13 11:39:08 GMT 2025","Create entity","Files","",""
"","15","Get file","LMS service","Sat Sep 13 11:39:09 GMT 2025","passed","Sat Sep 13 11:39:09 GMT 2025","Get entity","Files","",""
"","560","Create new user","LMS service","Sat Sep 13 11:39:11 GMT 2025","passed","Sat Sep 13 11:39:12 GMT 2025","Create entity","Users","",""
"","319","Get courses","LMS service","Sat Sep 13 11:39:03 GMT 2025","passed","Sat Sep 13 11:39:03 GMT 2025","Get entities","Courses","",""
"","547","Login with correct email and password","LMS service","Sat Sep 13 11:39:02 GMT 2025","passed","Sat Sep 13 11:39:03 GMT 2025","Login","Authentication","",""
"","264","Get file with incorrect file id","LMS service","Sat Sep 13 11:39:11 GMT 2025","passed","Sat Sep 13 11:39:11 GMT 2025","Validate entity","Files","",""
"","267","Create file with empty directory","LMS service","Sat Sep 13 11:39:10 GMT 2025","passed","Sat Sep 13 11:39:10 GMT 2025","Validate entity","Files","",""
"","291","Delete exercise","LMS service","Sat Sep 13 11:39:07 GMT 2025","passed","Sat Sep 13 11:39:07 GMT 2025","Delete entity","Exercises","",""
"","26","Create course","LMS service","Sat Sep 13 11:39:04 GMT 2025","passed","Sat Sep 13 11:39:04 GMT 2025","Create entity","Courses","",""
