"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24","Delete file","LMS service","Sat Sep 13 11:47:49 GMT 2025","passed","Sat Sep 13 11:47:49 GMT 2025","Delete entity","Files","",""
"","274","Create file","LMS service","Sat Sep 13 11:47:46 GMT 2025","passed","Sat Sep 13 11:47:46 GMT 2025","Create entity","Files","",""
"","284","Get exercise","LMS service","Sat Sep 13 11:47:44 GMT 2025","passed","Sat Sep 13 11:47:45 GMT 2025","Get entity","Exercises","",""
"","287","Create new user","LMS service","Sat Sep 13 11:47:49 GMT 2025","passed","Sat Sep 13 11:47:50 GMT 2025","Create entity","Users","",""
"","269","Create file with empty filename","LMS service","Sat Sep 13 11:47:47 GMT 2025","passed","Sat Sep 13 11:47:48 GMT 2025","Validate entity","Files","",""
"","17","Get file","LMS service","Sat Sep 13 11:47:47 GMT 2025","passed","Sat Sep 13 11:47:47 GMT 2025","Get entity","Files","",""
"","303","Update course","LMS service","Sat Sep 13 11:47:43 GMT 2025","passed","Sat Sep 13 11:47:43 GMT 2025","Update entity","Courses","",""
"","296","Create exercise","LMS service","Sat Sep 13 11:47:43 GMT 2025","passed","Sat Sep 13 11:47:43 GMT 2025","Create entity","Exercises","",""
"","268","Create file with empty directory","LMS service","Sat Sep 13 11:47:48 GMT 2025","passed","Sat Sep 13 11:47:48 GMT 2025","Validate entity","Files","",""
"","494","Create new user","LMS service","Sat Sep 13 11:47:49 GMT 2025","passed","Sat Sep 13 11:47:49 GMT 2025","Create entity","Users","",""
"","20","Update exercise","LMS service","Sat Sep 13 11:47:44 GMT 2025","passed","Sat Sep 13 11:47:44 GMT 2025","Update entity","Exercises","",""
"","556","Create new user","LMS service","Sat Sep 13 11:47:49 GMT 2025","passed","Sat Sep 13 11:47:50 GMT 2025","Create entity","Users","",""
"","22","Delete exercise","LMS service","Sat Sep 13 11:47:45 GMT 2025","passed","Sat Sep 13 11:47:45 GMT 2025","Delete entity","Exercises","",""
"","285","Get exercises","LMS service","Sat Sep 13 11:47:46 GMT 2025","passed","Sat Sep 13 11:47:46 GMT 2025","Get entities","Exercises","",""
"","261","Get file with incorrect file id","LMS service","Sat Sep 13 11:47:49 GMT 2025","passed","Sat Sep 13 11:47:49 GMT 2025","Validate entity","Files","",""
"","544","Login with correct email and password","LMS service","Sat Sep 13 11:47:41 GMT 2025","passed","Sat Sep 13 11:47:41 GMT 2025","Login","Authentication","",""
"","12","Get user me","LMS service","Sat Sep 13 11:47:51 GMT 2025","passed","Sat Sep 13 11:47:51 GMT 2025","Get entity","Users","",""
"","29","Create course","LMS service","Sat Sep 13 11:47:42 GMT 2025","passed","Sat Sep 13 11:47:42 GMT 2025","Create entity","Courses","",""
"","298","Get courses","LMS service","Sat Sep 13 11:47:41 GMT 2025","passed","Sat Sep 13 11:47:41 GMT 2025","Get entities","Courses","",""
