"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11","Get user me","LMS service","Sat Sep 13 11:45:41 GMT 2025","passed","Sat Sep 13 11:45:41 GMT 2025","Get entity","Users","",""
"","266","Create file","LMS service","Sat Sep 13 11:45:37 GMT 2025","passed","Sat Sep 13 11:45:37 GMT 2025","Create entity","Files","",""
"","285","Create new user","LMS service","Sat Sep 13 11:45:40 GMT 2025","passed","Sat Sep 13 11:45:40 GMT 2025","Create entity","Users","",""
"","269","Create file with empty filename","LMS service","Sat Sep 13 11:45:38 GMT 2025","passed","Sat Sep 13 11:45:38 GMT 2025","Validate entity","Files","",""
"","27","Delete file","LMS service","Sat Sep 13 11:45:39 GMT 2025","passed","Sat Sep 13 11:45:39 GMT 2025","Delete entity","Files","",""
"","284","Get exercises","LMS service","Sat Sep 13 11:45:36 GMT 2025","passed","Sat Sep 13 11:45:36 GMT 2025","Get entities","Exercises","",""
"","282","Get exercise","LMS service","Sat Sep 13 11:45:35 GMT 2025","passed","Sat Sep 13 11:45:35 GMT 2025","Get entity","Exercises","",""
"","495","Create new user","LMS service","Sat Sep 13 11:45:39 GMT 2025","passed","Sat Sep 13 11:45:40 GMT 2025","Create entity","Users","",""
"","27","Create course","LMS service","Sat Sep 13 11:45:33 GMT 2025","passed","Sat Sep 13 11:45:33 GMT 2025","Create entity","Courses","",""
"","543","Login with correct email and password","LMS service","Sat Sep 13 11:45:31 GMT 2025","passed","Sat Sep 13 11:45:32 GMT 2025","Login","Authentication","",""
"","21","Delete exercise","LMS service","Sat Sep 13 11:45:36 GMT 2025","passed","Sat Sep 13 11:45:36 GMT 2025","Delete entity","Exercises","",""
"","271","Create file with empty directory","LMS service","Sat Sep 13 11:45:39 GMT 2025","passed","Sat Sep 13 11:45:39 GMT 2025","Validate entity","Files","",""
"","266","Get file with incorrect file id","LMS service","Sat Sep 13 11:45:40 GMT 2025","passed","Sat Sep 13 11:45:40 GMT 2025","Validate entity","Files","",""
"","23","Update exercise","LMS service","Sat Sep 13 11:45:35 GMT 2025","passed","Sat Sep 13 11:45:35 GMT 2025","Update entity","Exercises","",""
"","303","Update course","LMS service","Sat Sep 13 11:45:33 GMT 2025","passed","Sat Sep 13 11:45:34 GMT 2025","Update entity","Courses","",""
"","292","Create exercise","LMS service","Sat Sep 13 11:45:34 GMT 2025","passed","Sat Sep 13 11:45:34 GMT 2025","Create entity","Exercises","",""
"","293","Get courses","LMS service","Sat Sep 13 11:45:32 GMT 2025","passed","Sat Sep 13 11:45:32 GMT 2025","Get entities","Courses","",""
"","555","Create new user","LMS service","Sat Sep 13 11:45:40 GMT 2025","passed","Sat Sep 13 11:45:41 GMT 2025","Create entity","Users","",""
"","13","Get file","LMS service","Sat Sep 13 11:45:38 GMT 2025","passed","Sat Sep 13 11:45:38 GMT 2025","Get entity","Files","",""
