"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28","Create course","LMS service","Sat Sep 13 11:56:36 GMT 2025","passed","Sat Sep 13 11:56:36 GMT 2025","Create entity","Courses","",""
"","287","Get exercise","LMS service","Sat Sep 13 11:56:39 GMT 2025","passed","Sat Sep 13 11:56:39 GMT 2025","Get entity","Exercises","",""
"","545","Login with correct email and password","LMS service","Sat Sep 13 11:56:35 GMT 2025","passed","Sat Sep 13 11:56:36 GMT 2025","Login","Authentication","",""
"","561","Create new user","LMS service","Sat Sep 13 11:56:44 GMT 2025","passed","Sat Sep 13 11:56:45 GMT 2025","Create entity","Users","",""
"","22","Create exercise","LMS service","Sat Sep 13 11:56:37 GMT 2025","passed","Sat Sep 13 11:56:37 GMT 2025","Create entity","Exercises","",""
"","301","Update course","LMS service","Sat Sep 13 11:56:37 GMT 2025","passed","Sat Sep 13 11:56:37 GMT 2025","Update entity","Courses","",""
"","270","Create file with empty directory","LMS service","Sat Sep 13 11:56:42 GMT 2025","passed","Sat Sep 13 11:56:43 GMT 2025","Validate entity","Files","",""
"","301","Get courses","LMS service","Sat Sep 13 11:56:36 GMT 2025","passed","Sat Sep 13 11:56:36 GMT 2025","Get entities","Courses","",""
"","305","Delete file","LMS service","Sat Sep 13 11:56:43 GMT 2025","passed","Sat Sep 13 11:56:43 GMT 2025","Delete entity","Files","",""
"","559","Create new user","LMS service","Sat Sep 13 11:56:44 GMT 2025","passed","Sat Sep 13 11:56:44 GMT 2025","Create entity","Users","",""
"","31","Update exercise","LMS service","Sat Sep 13 11:56:39 GMT 2025","passed","Sat Sep 13 11:56:39 GMT 2025","Update entity","Exercises","",""
"","13","Get file","LMS service","Sat Sep 13 11:56:41 GMT 2025","passed","Sat Sep 13 11:56:41 GMT 2025","Get entity","Files","",""
"","267","Create file with empty filename","LMS service","Sat Sep 13 11:56:42 GMT 2025","passed","Sat Sep 13 11:56:42 GMT 2025","Validate entity","Files","",""
"","561","Create new user","LMS service","Sat Sep 13 11:56:44 GMT 2025","passed","Sat Sep 13 11:56:44 GMT 2025","Create entity","Users","",""
"","11","Get user me","LMS service","Sat Sep 13 11:56:45 GMT 2025","passed","Sat Sep 13 11:56:45 GMT 2025","Get entity","Users","",""
"","14","Get file with incorrect file id","LMS service","Sat Sep 13 11:56:44 GMT 2025","passed","Sat Sep 13 11:56:44 GMT 2025","Validate entity","Files","",""
"","287","Get exercises","LMS service","Sat Sep 13 11:56:40 GMT 2025","passed","Sat Sep 13 11:56:40 GMT 2025","Get entities","Exercises","",""
"","21","Delete exercise","LMS service","Sat Sep 13 11:56:40 GMT 2025","passed","Sat Sep 13 11:56:40 GMT 2025","Delete entity","Exercises","",""
"","272","Create file","LMS service","Sat Sep 13 11:56:41 GMT 2025","passed","Sat Sep 13 11:56:41 GMT 2025","Create entity","Files","",""
